time_s,north_m,east_m,down_m,v_north_mps,v_east_mps,v_down_mps,q1,q2,q3,q4,p_rad_s,q_rad_s,r_rad_s,temp_c
0,0,0,0,0,0,0,0.6190243,0.3468197,0.6106818,-0.3515576,0,0,0,10.93749
0.2,0.003884219,-0.006512322,-0.5588328,0.04120867,-0.06909088,-5.928798,0.6190243,0.3468197,0.6106818,-0.3515576,0,0,0,10.93386
0.4,0.01731818,-0.02903585,-2.491612,0.09520326,-0.1596188,-13.69714,0.6190243,0.3468197,0.6106818,-0.3515576,0,0,0,10.92132
0.6,0.04293957,-0.07199293,-6.177828,0.163102,-0.2734586,-23.46591,0.6190243,0.3468197,0.6106818,-0.3515576,0,0,0,10.89733
0.78,0.07844778,-0.1315237,-11.28589,0.2252536,-0.3769818,-32.25985,0.6190242,0.3468198,0.610682,-0.3515574,-6.398669e-06,0.0001329053,2.789956e-05,10.86413
0.8,0.08301352,-0.1391477,-11.93624,0.231258,-0.3852789,-32.76455,0.6190227,0.3468211,0.6106836,-0.351556,-2.250848e-05,0.0004356095,8.634722e-05,10.85992
1,0.1353675,-0.2244448,-18.99993,0.2925837,-0.4671466,-37.89188,0.6189201,0.3469041,0.6107964,-0.3514586,-0.0002352076,0.003473494,0.0006099193,10.81399
1.2,0.2000702,-0.3255562,-27.0941,0.3543212,-0.5424227,-43.04687,0.6186579,0.3471052,0.6110895,-0.3512122,-0.0005437127,0.00647109,0.0009958231,10.76138
1.4,0.2770123,-0.4407146,-36.22213,0.4145735,-0.6067604,-48.21635,0.6182372,0.3474078,0.6115679,-0.3508208,-0.0009532974,0.009412616,0.001241469,10.70205
1.6,0.3656798,-0.567285,-46.38376,0.4711878,-0.6558,-53.36935,0.6176606,0.3477939,0.6122355,-0.3502891,-0.001472326,0.01227115,0.001341434,10.63601
1.8,0.4651186,-0.7017936,-57.57288,0.5221139,-0.6859048,-58.53309,0.6169321,0.3482439,0.6130949,-0.3496222,-0.002109177,0.01504301,0.001304076,10.56329
2,0.5739817,-0.8401141,-69.79499,0.5650816,-0.6933976,-63.7289,0.6160561,0.3487384,0.6141486,-0.3488235,-0.002870078,0.0177176,0.001135487,10.48382
2.2,0.6904545,-0.9773939,-83.06789,0.5976442,-0.6746321,-68.95904,0.6150373,0.3492591,0.6153992,-0.3478952,-0.003754199,0.0202709,0.0008370479,10.39755
2.4,0.8121572,-1.10797,-97.37884,0.61694,-0.625837,-74.17095,0.6138844,0.3497832,0.6168439,-0.3468447,-0.00474362,0.02265162,0.0004038479,10.30453
2.6,0.9361787,-1.225544,-112.7316,0.6203257,-0.5440447,-79.37547,0.6126062,0.3502907,0.6184785,-0.3456796,-0.005801085,0.02483274,-0.0001564144,10.20474
2.8,1.05903,-1.323183,-129.1298,0.6047621,-0.4260406,-84.61526,0.6112115,0.3507645,0.6202949,-0.3444112,-0.006864318,0.02679785,-0.000827917,10.09817
3,1.176586,-1.393283,-146.5847,0.567497,-0.2688979,-89.88328,0.6097086,0.3511915,0.6222805,-0.3430552,-0.007856707,0.02849999,-0.001619436,9.984705
3.2,1.284376,-1.427753,-165.0916,0.5061621,-0.06831059,-95.19648,0.6081076,0.3515555,0.6244177,-0.3416379,-0.008736884,0.02988251,-0.00259716,9.864404
3.4,1.377254,-1.417549,-184.6665,0.4181451,0.1776944,-100.5399,0.6064166,0.3518416,0.6266869,-0.340191,-0.009429496,0.0308874,-0.003779399,9.737177
3.6,1.449672,-1.353584,-205.3082,0.3005507,0.4702439,-105.896,0.604646,0.3520357,0.6290617,-0.3387557,-0.009850569,0.0314602,-0.005169631,9.602991
3.8,1.495544,-1.226664,-227.0149,0.1519516,0.807567,-111.1983,0.6028065,0.3521272,0.6315104,-0.3373803,-0.009920926,0.03152711,-0.006777101,9.461908
4,1.507909,-1.027204,-249.7951,-0.03548631,1.196126,-116.6415,0.6009086,0.3521103,0.6339971,-0.3361173,-0.00957017,0.031132,-0.008552899,9.313837
4.2,1.479241,-0.7457933,-273.6575,-0.2566103,1.623768,-121.9486,0.5989638,0.3519826,0.6364818,-0.3350246,-0.008740918,0.03011611,-0.0105392,9.158716
4.4,1.40231,-0.3747723,-298.5797,-0.5213665,2.094146,-127.3062,0.596988,0.3517442,0.6389162,-0.3341669,-0.007318059,0.02856434,-0.01258072,8.996729
4.6,1.267792,0.09400033,-324.576,-0.8310474,2.598347,-132.6454,0.5949931,0.351419,0.6412469,-0.333602,-0.005212667,0.02646221,-0.01454002,8.827753
4.8,1.066372,0.666952,-351.6451,-1.191083,3.1356,-138.0427,0.5929961,0.3510346,0.6434168,-0.3333845,-0.002496399,0.02384289,-0.01634989,8.651819
5,0.7879477,1.349981,-379.7951,-1.603883,3.700027,-143.4904,0.5910185,0.3506172,0.6453708,-0.3335584,0.0007157435,0.02069321,-0.01791149,8.468835
5.2,0.4213971,2.147775,-409.0356,-2.072217,4.281199,-148.9327,0.589098,0.3501963,0.6470494,-0.3341456,0.004149481,0.0169198,-0.01893689,8.278772
5.4,-0.04443417,3.063275,-439.3686,-2.593804,4.877266,-154.4143,0.5872953,0.3497815,0.6484014,-0.335131,0.007187188,0.0125823,-0.01957165,8.081598
5.6,-0.6197152,4.099831,-470.8118,-3.165508,5.486139,-159.9866,0.5856756,0.3493246,0.6494157,-0.3364754,0.00919738,0.007780917,-0.0199836,7.877222
5.8,-1.313829,5.256218,-503.3523,-3.790397,6.076666,-165.4688,0.5843394,0.3487789,0.650084,-0.3380704,0.009690781,0.002556065,-0.01912835,7.665704
6,-2.140309,6.528606,-537.0003,-4.482683,6.641571,-170.9989,0.5834213,0.3481498,0.6503856,-0.3397202,0.008501003,-0.002888002,-0.01636914,7.446985
6.2,-3.109493,7.910757,-571.7487,-5.213353,7.174655,-176.4743,0.5830446,0.3474415,0.6503109,-0.3412317,0.00580582,-0.008422183,-0.01237379,7.221124
6.4,-4.227707,9.397051,-607.5999,-5.972922,7.684921,-182.0706,0.583285,0.3466364,0.6498765,-0.3424652,0.002001832,-0.01378436,-0.007753583,6.988092
6.6,-5.497809,10.98208,-644.5664,-6.727901,8.160424,-187.6102,0.5841701,0.3457174,0.6491131,-0.3433321,-0.002418887,-0.01885481,-0.002926296,6.747827
6.8,-6.917889,12.65864,-682.644,-7.468614,8.597152,-193.1539,0.5856881,0.3446871,0.6480518,-0.3437864,-0.006879246,-0.02334704,0.002044147,6.500299
7,-8.484663,14.41838,-721.8433,-8.192769,8.991447,-198.8272,0.587788,0.3435952,0.6467209,-0.3438018,-0.01095072,-0.02691931,0.007269261,6.245508
7.2,-10.19218,16.25181,-762.1744,-8.873898,9.334581,-204.4836,0.5903929,0.342513,0.6451532,-0.3433635,-0.01445063,-0.02944483,0.01255487,5.983362
7.4,-12.02992,18.14898,-803.6313,-9.492949,9.630627,-210.0991,0.5934038,0.3415033,0.6433932,-0.3424801,-0.01728618,-0.03087999,0.01747543,5.713892
7.6,-13.98445,20.10246,-846.214,-10.04168,9.904341,-215.7527,0.5967222,0.3405939,0.6414791,-0.3412079,-0.01925884,-0.03244998,0.02163946,5.437097
7.8,-16.04046,22.10918,-889.9272,-10.50054,10.15643,-221.3878,0.6003588,0.3397494,0.6393328,-0.3396958,-0.02012469,-0.03507222,0.02461809,5.152979
8,-18.17619,24.16111,-934.7759,-10.83087,10.34858,-227.0529,0.6040793,0.3389457,0.6370981,-0.3380978,-0.02002527,-0.03251352,0.02411353,4.861444
8.2,-20.36458,26.24425,-980.7554,-11.03535,10.475,-232.7396,0.6073363,0.3382139,0.6352882,-0.3363968,-0.02050134,-0.02375733,0.02120986,4.562585
8.4,-22.58481,28.3492,-1027.875,-11.15499,10.57135,-238.4331,0.6098886,0.3375381,0.6342002,-0.3345056,-0.02176926,-0.01360531,0.01766933,4.256311
8.6,-24.82321,30.47246,-1076.134,-11.22216,10.66129,-244.1404,0.6117155,0.3368793,0.6339009,-0.3323944,-0.02339843,-0.003353046,0.01394091,3.942621
8.8,-27.07197,32.61436,-1125.538,-11.26316,10.76045,-249.9198,0.6128057,0.3362178,0.6344166,-0.3300641,-0.02495466,0.007231548,0.009887433,3.621515
9,-29.32801,34.77835,-1176.093,-11.29888,10.88792,-255.6383,0.6131058,0.3355537,0.6357716,-0.3275658,-0.02552114,0.01786656,0.004954407,3.292902
9.2,-31.59377,36.97426,-1227.798,-11.36877,11.0865,-261.4128,0.6125906,0.3348715,0.6378862,-0.3251077,-0.02444072,0.02575264,-0.001187351,2.956812
9.4,-33.88158,39.22026,-1280.663,-11.52574,11.38754,-267.1933,0.6115801,0.3339514,0.6404558,-0.3228971,-0.0250798,0.02610772,-0.006883447,2.613184
9.6,-36.21104,41.53307,-1334.666,-11.78733,11.74669,-272.855,0.6106122,0.3326808,0.6429754,-0.3210278,-0.02417453,0.02089676,-0.00879118,2.26217
9.8,-38.6031,43.9198,-1389.812,-12.14722,12.1205,-278.6101,0.6100345,0.3312588,0.6450893,-0.3193514,-0.02483672,0.01430124,-0.006152256,1.903711
10,-41.07454,46.38141,-1446.119,-12.57544,12.49604,-284.477,0.6100706,0.3297998,0.646697,-0.3175356,-0.02705562,0.007536145,-0.000618245,1.537714
10.2,-43.63496,48.91819,-1503.601,-13.02888,12.87114,-290.3207,0.6108294,0.3283719,0.6477523,-0.3153986,-0.02971995,0.0004667126,0.006179593,1.164087
10.4,-46.28491,51.52986,-1562.244,-13.46461,13.2462,-296.119,0.6123559,0.3270009,0.648212,-0.3129087,-0.03211988,-0.006924952,0.0129525,0.7829224
10.6,-49.01612,54.21611,-1622.043,-13.83144,13.61421,-301.8764,0.6145837,0.3256699,0.6481,-0.3101492,-0.03359723,-0.01313287,0.01767135,0.39422
10.8,-51.80917,56.97383,-1682.992,-14.07558,13.95779,-307.6352,0.6171485,0.3243266,0.6476848,-0.3073182,-0.03373716,-0.01366589,0.01726352,-0.001959229
11,-54.63726,59.79636,-1745.092,-14.18812,14.26288,-313.3821,0.6193582,0.3229076,0.6475843,-0.3045662,-0.03311432,-0.006069677,0.01209901,-0.4055847
11.2,-57.47942,62.67754,-1808.328,-14.22905,14.55188,-319.0046,0.6207339,0.3214127,0.6482493,-0.3019209,-0.03255043,0.004562821,0.005269409,-0.816626
11.4,-60.32913,65.61869,-1872.693,-14.27204,14.86418,-324.6243,0.6211939,0.3198186,0.6497524,-0.299426,-0.03153489,0.0142001,-0.001820049,-1.235022
11.6,-63.19146,68.62588,-1938.177,-14.36426,15.21507,-330.1988,0.6208704,0.3180893,0.6519462,-0.297162,-0.03063563,0.02055831,-0.008207569,-1.660651
11.8,-66.08209,71.70827,-2004.78,-14.55977,15.61192,-335.7449,0.6201661,0.3161361,0.6544963,-0.2951044,-0.03090262,0.02062094,-0.01132124,-2.093573
12,-69.02333,74.87241,-2072.476,-14.87078,16.03227,-341.234,0.6196216,0.3140634,0.6568782,-0.2931624,-0.03121029,0.01554624,-0.009175948,-2.533606
12.2,-72.03541,78.12107,-2141.263,-15.25751,16.45314,-346.6034,0.6196372,0.312002,0.6587694,-0.2910799,-0.03298741,0.008555092,-0.003560611,-2.980719
12.4,-75.12773,81.45361,-2211.12,-15.66481,16.87198,-351.9815,0.6203505,0.310022,0.6600777,-0.2887023,-0.03490882,0.001712075,0.002880895,-3.43479
12.6,-78.29878,84.86917,-2282.051,-16.03684,17.28457,-357.3799,0.6216835,0.3081467,0.6608653,-0.2860283,-0.03632616,-0.003253556,0.007882518,-3.895819
12.8,-81.53714,88.36765,-2354.083,-16.33075,17.70154,-362.9484,0.6233168,0.3063341,0.6613863,-0.2832027,-0.03655494,-0.004048063,0.008422471,-4.36405
13,-84.82476,91.94958,-2427.219,-16.53417,18.11983,-368.4299,0.6247919,0.3043954,0.6620634,-0.2804471,-0.03669662,-0.0005296778,0.003856836,-4.839423
13.2,-88.14738,95.61539,-2501.439,-16.69158,18.54145,-373.7958,0.6257699,0.3022082,0.6631958,-0.2779454,-0.03605054,0.004745929,-0.003082941,-5.321844
13.4,-91.50321,99.3668,-2576.74,-16.87729,18.97445,-379.2329,0.6262129,0.2997301,0.6648174,-0.2757482,-0.036022,0.008725551,-0.009216802,-5.811316
13.6,-94.90399,103.2054,-2653.136,-17.14742,19.41054,-384.7495,0.6263888,0.2969938,0.6667132,-0.2737247,-0.03638847,0.009029871,-0.01129278,-6.307898
13.8,-98.36835,107.1299,-2730.636,-17.50893,19.83135,-390.2355,0.6266868,0.2942437,0.6684878,-0.2716769,-0.03713988,0.005943312,-0.007851312,-6.811621
14,-101.9107,111.1369,-2809.221,-17.91926,20.24097,-395.6371,0.6274186,0.2916432,0.6698849,-0.2693408,-0.03862786,0.001207121,-0.001835807,-7.322424
14.2,-105.535,115.2265,-2888.883,-18.31808,20.65812,-401.0133,0.6286606,0.2891835,0.6708436,-0.2666975,-0.03991235,-0.003354717,0.00262003,-7.840247
14.4,-109.233,119.3997,-2969.63,-18.64984,21.07458,-406.5277,0.6301686,0.286777,0.6715586,-0.2639234,-0.04012896,-0.003668658,0.003144003,-8.365088
14.6,-112.9905,123.6558,-3051.492,-18.91888,21.48765,-412.09,0.6315016,0.2843104,0.6724381,-0.261152,-0.04034228,8.977665e-06,0.0003102136,-8.897192
14.8,-116.7995,127.9947,-3134.456,-19.17576,21.90415,-417.5748,0.6324682,0.2817052,0.6736583,-0.2584779,-0.04051123,0.003779713,-0.003393317,-9.436469
15,-120.6634,132.418,-3218.519,-19.47217,22.32929,-423.0675,0.6331773,0.2789209,0.6751383,-0.2558865,-0.04114545,0.005050314,-0.005583697,-9.982886
15.2,-124.5931,136.9272,-3303.698,-19.83342,22.76187,-428.6934,0.6338816,0.2760649,0.6766117,-0.2533356,-0.04103622,0.00327532,-0.004800725,-10.53654
15.4,-128.5992,141.522,-3389.994,-20.22942,23.181,-434.2315,0.6348181,0.2732518,0.6778547,-0.2507038,-0.04182843,9.572432e-05,-0.001768846,-11.09745
15.6,-132.6847,146.1987,-3477.398,-20.62137,23.58472,-439.8405,0.6360344,0.2705424,0.6788489,-0.2478534,-0.04278668,-0.001553252,0.001746389,-11.66559
15.8,-136.845,150.956,-3565.94,-20.97063,23.98784,-445.5685,0.6373274,0.2679587,0.67977,-0.2447954,-0.0431638,7.090886e-05,0.002907712,-12.24113
16,-141.0705,155.7945,-3655.63,-21.28476,24.39714,-451.3145,0.6384075,0.2654071,0.6808838,-0.2416448,-0.0434425,0.003813763,0.001911127,-12.8241
16.2,-145.3603,160.7157,-3746.466,-21.61994,24.81947,-457.0689,0.6392559,0.2628516,0.6822136,-0.2384229,-0.04389498,0.005886751,0.001650003,-13.41453
16.4,-149.7212,165.724,-3838.46,-21.99493,25.26788,-462.8734,0.6400636,0.2603141,0.683561,-0.2351583,-0.04375303,0.004905433,0.002353559,-14.01249
16.6,-154.1592,170.8234,-3931.601,-22.3873,25.73048,-468.5624,0.6410219,0.2577919,0.6847324,-0.2318959,-0.04362312,0.001991499,0.003303832,-14.6179
16.8,-158.6755,176.0166,-4025.885,-22.77268,26.20237,-474.2865,0.6421772,0.25526,0.6856823,-0.2286715,-0.04332926,-0.0004783622,0.003641292,-15.23075
17,-163.2662,181.3044,-4121.322,-23.13126,26.67785,-480.1579,0.6434025,0.2526855,0.6865349,-0.2255061,-0.04349202,-0.0004873496,0.00280408,-15.85108
17.2,-167.926,186.6869,-4217.94,-23.46752,27.14996,-486.0758,0.644524,0.2500106,0.6874936,-0.2223423,-0.04438683,0.001478095,0.001365784,-16.4791
17.4,-172.6534,192.1639,-4315.747,-23.80931,27.61743,-491.9713,0.6454879,0.2472357,0.6886193,-0.2191424,-0.04508869,0.003366563,0.0007486066,-17.11484
17.6,-177.4522,197.7341,-4414.742,-24.18116,28.0814,-497.9327,0.6463575,0.2444989,0.689822,-0.2158422,-0.04533324,0.004215763,0.002306099,-17.75832
17.8,-182.3279,203.398,-4514.93,-24.5763,28.55996,-503.9246,0.6472667,0.2418724,0.6909706,-0.2123753,-0.04581703,0.003455495,0.004487134,-18.40955
18,-187.2825,209.1598,-4616.31,-24.96791,29.06273,-509.8726,0.6482902,0.2393096,0.6919878,-0.2088147,-0.04573737,0.001895211,0.005281369,-19.06852
18.2,-192.3138,215.0249,-4718.884,-25.34027,29.59093,-515.8511,0.6493865,0.236708,0.6929042,-0.2053052,-0.04579441,0.0008770192,0.004037506,-19.73525
18.4,-197.4176,220.9982,-4822.66,-25.69224,30.14009,-521.8427,0.6504814,0.2338911,0.6938286,-0.2019176,-0.04681611,0.0005254853,0.0008903012,-20.40978
18.6,-202.5914,227.0807,-4927.638,-26.04768,30.67727,-527.918,0.6515231,0.2308021,0.6948329,-0.198634,-0.04772192,0.001167824,-0.0009581048,-21.09214
18.8,-207.8383,233.2678,-5033.837,-26.42539,31.19647,-534.0974,0.6524895,0.2276733,0.6958987,-0.1953132,-0.04783259,0.001944938,-0.0003143653,-21.78245
19,-213.1624,239.5603,-5141.271,-26.8155,31.7298,-540.2162,0.6534521,0.2245715,0.6969349,-0.1919629,-0.04767055,0.00108184,-0.0002305851,-22.48076
19.2,-218.5644,245.96,-5249.914,-27.20633,32.26979,-546.2473,0.6544831,0.2214334,0.6978693,-0.1886732,-0.04742641,-0.0004841022,-0.0008281069,-23.18694
19.4,-224.0451,252.4688,-5359.786,-27.59941,32.81682,-552.4886,0.6555702,0.2182292,0.6987183,-0.1854628,-0.04739433,-0.00123372,-0.001484439,-23.90111
19.6,-229.6039,259.086,-5470.917,-27.98738,33.35205,-558.837,0.6566414,0.2149821,0.6995592,-0.1822684,-0.04764483,-0.0005671358,-0.001529482,-24.62346
19.8,-235.2406,265.809,-5583.337,-28.37895,33.87406,-565.3265,0.6576211,0.2117764,0.7004645,-0.1789824,-0.04794196,0.001235311,-0.0003389221,-25.35419
20,-240.9563,272.6359,-5697.046,-28.78268,34.3987,-571.7675,0.6585141,0.2086731,0.701425,-0.17555,-0.04813356,0.001905589,0.001057751,-26.0933
20.2,-246.7554,279.5705,-5812.047,-29.20754,34.9455,-578.1652,0.6594492,0.2056296,0.7023115,-0.1720518,-0.04800561,0.0001731026,0.001836074,-26.84081
20.4,-252.6395,286.6146,-5928.305,-29.63421,35.50065,-584.4635,0.660546,0.2025922,0.7030046,-0.1685821,-0.04765698,-0.002531697,0.00206454,-27.59649
20.6,-258.6077,293.7711,-6045.841,-30.04291,36.06361,-590.9193,0.6617652,0.1995265,0.7035418,-0.1651816,-0.04753286,-0.003662932,0.001594885,-28.36046
20.8,-264.6551,301.0401,-6164.688,-30.42704,36.62403,-597.5565,0.6629575,0.1963898,0.7040898,-0.1617895,-0.04843412,-0.002353208,0.0009513004,-29.13297
21,-270.7778,308.42,-6284.864,-30.79831,37.1713,-604.1706,0.6640114,0.1931738,0.7047784,-0.1583043,-0.04961402,-5.831634e-05,0.000815875,-29.91411
21.2,-276.9756,315.9091,-6406.375,-31.18366,37.72067,-610.9307,0.6649132,0.1899504,0.7056086,-0.1546797,-0.05026687,0.001959282,0.001658104,-30.70394
21.4,-283.2531,323.5098,-6529.242,-31.5952,38.29088,-617.7256,0.6657441,0.186783,0.7064789,-0.1509455,-0.05030625,0.00178982,0.0023857,-31.50257
21.6,-289.6143,331.2264,-6653.457,-32.01748,38.87484,-624.4778,0.6666422,0.1836277,0.7072455,-0.1472175,-0.05012609,0.0004055609,0.00273209,-32.30997
21.8,-296.0591,339.0587,-6779.042,-32.42683,39.44704,-631.3853,0.6675609,0.1805266,0.7079576,-0.1434181,-0.05049902,0.001280894,0.004247765,-33.12627
22,-302.5844,347.0062,-6906.023,-32.82369,40.02897,-638.3881,0.6683742,0.1775182,0.7087439,-0.1394464,-0.05116328,0.003415176,0.005496627,-33.95165
22.2,-309.1891,355.0729,-7034.403,-33.22689,40.64616,-645.4344,0.669064,0.1745172,0.7096338,-0.13534,-0.05207333,0.004619275,0.005385033,-34.78612
22.4,-315.8759,363.266,-7164.18,-33.64624,41.29192,-652.3695,0.6697236,0.1714144,0.7105408,-0.1312222,-0.05251878,0.003819109,0.00422128,-35.62968
22.6,-322.65,371.5915,-7295.356,-34.09891,41.9655,-659.4132,0.6704792,0.1681992,0.7113248,-0.1272147,-0.05204422,0.001024314,0.003169025,-36.48232
22.8,-329.5153,380.0513,-7427.937,-34.55301,42.63443,-666.4598,0.6714085,0.1649329,0.7118957,-0.1233382,-0.05156063,-0.001515607,0.00288435,-37.34409
23,-336.4693,388.6447,-7561.949,-34.98272,43.29553,-673.6538,0.672408,0.1616566,0.7123598,-0.1194913,-0.05174581,-0.001509467,0.003243084,-38.21517
23.2,-343.5089,397.3705,-7697.429,-35.41053,43.95994,-681.1146,0.6733509,0.1584287,0.7128471,-0.1155337,-0.05230683,-0.0002450484,0.004761628,-39.09579
23.4,-350.6339,406.2303,-7834.405,-35.83807,44.63901,-688.5929,0.6742157,0.1552798,0.7133785,-0.1114111,-0.0527886,0.0006775013,0.005987376,-39.98614
23.6,-357.8441,415.2278,-7972.857,-36.26608,45.34459,-695.9604,0.6750501,0.1521434,0.7139077,-0.1072172,-0.05312396,0.0004090847,0.005792192,-40.88607
23.8,-365.1413,424.3713,-8112.808,-36.70469,46.09145,-703.5112,0.675912,0.148913,0.7143862,-0.1030549,-0.05358925,-0.0005869768,0.004577649,-41.79575
24,-372.5259,433.6651,-8254.267,-37.14144,46.84838,-711.1043,0.676822,0.1455435,0.7147986,-0.09895514,-0.05409282,-0.001491607,0.003440342,-42.71523
24.2,-379.9973,443.11,-8397.25,-37.57267,47.60191,-718.7834,0.6777537,0.1420791,0.7151656,-0.09487683,-0.05454064,-0.001674556,0.003223655,-43.64463
24.4,-387.5548,452.7062,-8541.799,-38.00149,48.35953,-726.7168,0.6786494,0.1386091,0.7155356,-0.09072665,-0.05515025,-0.0007842096,0.004189195,-44.58419
24.6,-395.1964,462.458,-8687.908,-38.41367,49.18444,-734.376,0.6795104,0.1349553,0.7159411,-0.0864936,-0.05923343,-0.001417065,-0.0001832666,-45.5339
24.8,-402.9193,472.3837,-8835.515,-38.81706,50.07303,-741.6625,0.6804985,0.130283,0.7163562,-0.0823524,-0.06713852,-0.004119284,-0.0100453,-46.49334
25,-410.7245,482.4841,-8984.592,-39.24015,50.91547,-749.2042,0.6816722,0.1244265,0.7167333,-0.07832301,-0.07309397,-0.006441706,-0.01695014,-47.46235
25.2,-418.6169,492.7406,-9135.229,-39.68575,51.62549,-757.2556,0.6829241,0.1181105,0.7170446,-0.07424002,-0.07586105,-0.006538684,-0.01515056,-48.44149
25.4,-426.5982,503.1255,-9287.496,-40.12408,52.20982,-765.3834,0.6841251,0.1120301,0.7173427,-0.06958095,-0.07690415,-0.004454311,-0.00690807,-49.43122
25.6,-434.6666,513.6252,-9441.398,-40.55868,52.79562,-773.6184,0.6851936,0.1064982,0.7176623,-0.06425425,-0.07887288,-0.002561494,0.000527563,-50.43159
25.8,-442.821,524.2497,-9596.93,-40.98217,53.47024,-781.7013,0.686216,0.1010525,0.717976,-0.05836448,-0.08281641,-0.002420574,0.001277027,-51.44254
26,-451.0575,535.021,-9754.084,-41.37638,54.24971,-789.7799,0.6872259,0.0949265,0.7183207,-0.05220017,-0.0929867,-0.001901492,-0.004889656,-52.46404
26.2,-459.3697,545.9468,-9912.854,-41.74477,54.98961,-797.9764,0.6881283,0.08764547,0.7188253,-0.04569402,-0.1020242,0.001164488,-0.009121948,-53.49604
26.4,-467.706,556.9244,-10071.92,-41.61837,54.76589,-792.6824,0.6888839,0.07973827,0.7194315,-0.03871892,-0.109256,0.001489201,-0.007529799,-54.52997
26.42,-468.5382,558.0194,-10087.77,-41.60541,54.73689,-792.1409,0.6889572,0.07893106,0.7194898,-0.03797849,-0.1101197,0.001570863,-0.006954235,-54.633
26.6,-476.0166,567.8467,-10229.91,-41.48673,54.45124,-787.2175,0.6895909,0.07160562,0.7199922,-0.03079394,-0.1186769,0.002376928,-0.0002351006,-55.55692
26.8,-484.3009,578.7067,-10386.82,-41.35855,54.16348,-781.9174,0.6902403,0.06330183,0.7204813,-0.02163071,-0.1290981,0.002895082,0.006018187,-56.50001
27,-492.5606,589.5197,-10542.7,-41.23782,53.98173,-776.9431,0.6908353,0.05450111,0.7208639,-0.01146738,-0.1399794,0.002795497,0.006044014,-56.50001
27.2,-500.7953,600.3036,-10697.58,-41.10719,53.86485,-771.8216,0.6913571,0.04488859,0.7211169,-0.0009050347,-0.1431575,0.002530991,0.0005984225,-56.50001
27.4,-509.0036,611.0664,-10851.44,-40.9783,53.76056,-766.7562,0.6917493,0.03481797,0.7212389,0.009227058,-0.1425274,0.002488575,-0.005506541,-56.50001
27.6,-517.1877,621.8054,-11004.31,-40.86742,53.62011,-762.0151,0.6920006,0.02447272,0.7212315,0.01900797,-0.1419458,0.002366779,-0.007443026,-56.50001
27.8,-525.3516,632.5093,-11156.24,-40.77216,53.40745,-757.3148,0.6921554,0.01430771,0.721034,0.02874391,-0.1387117,0.00113005,-0.003663803,-56.50001
28,-533.4959,643.1671,-11307.23,-40.66694,53.17503,-752.6224,0.6922457,0.004764625,0.7206156,0.03855193,-0.1358524,0.0003441531,0.001656556,-56.50001
28.2,-541.6173,653.7831,-11457.31,-40.54497,52.99713,-748.1447,0.6921811,-0.004420037,0.7200746,0.04856291,-0.1355606,0.001403942,0.003956837,-56.50001
28.4,-549.7132,664.3699,-11606.49,-40.41343,52.87806,-743.6953,0.6918669,-0.01355993,0.7195214,0.05852598,-0.1341573,0.003525613,0.001998613,-56.50001
28.6,-557.7832,674.9363,-11754.78,-40.28954,52.78777,-739.2281,0.6913058,-0.02271918,0.7189957,0.06800937,-0.1298914,0.005270829,-0.002168519,-56.50001
28.8,-565.8306,685.4847,-11902.19,-40.18933,52.69336,-734.8928,0.6905833,-0.03194964,0.718435,0.07697431,-0.1285345,0.005578237,-0.005521169,-56.50001
29,-573.8604,696.0117,-12048.75,-40.11008,52.56936,-730.7328,0.6897984,-0.0412931,0.717716,0.08577216,-0.1283973,0.004322374,-0.005898996,-56.50001
29.2,-581.8746,706.5099,-12194.49,-40.0307,52.40841,-726.586,0.6890103,-0.05051192,0.7167696,0.0946295,-0.1275568,0.002423959,-0.003311976,-56.50001
29.4,-589.8719,716.9744,-12339.39,-39.93999,52.23911,-722.4755,0.6882121,-0.05932129,0.7156274,0.1035496,-0.1247629,0.001118242,0.0002692838,-56.50001
29.6,-597.8495,727.4072,-12483.48,-39.83418,52.09492,-718.4843,0.68732,-0.06777334,0.7143729,0.1125586,-0.1244707,0.001505655,0.00281067,-56.50001
29.8,-605.8049,737.8149,-12626.79,-39.71893,51.98801,-714.5637,0.6862224,-0.07608831,0.7131075,0.1216019,-0.1239742,0.003406753,0.003052195,-56.50001
30,-613.7374,748.2042,-12769.31,-39.60792,51.90797,-710.645,0.6848783,-0.08447652,0.711873,0.1305459,-0.1231118,0.005500975,0.001204514,-56.50001
30.2,-621.6495,758.5787,-12911.05,-39.51659,51.83631,-706.7762,0.6833681,-0.09289917,0.7106446,0.1391473,-0.1208273,0.006378883,-0.00142853,-56.50001
30.4,-629.5454,768.938,-13052.03,-39.4464,51.75199,-702.9979,0.6817946,-0.1014169,0.709304,0.1475075,-0.1208266,0.005469088,-0.003135641,-56.50001
30.6,-637.429,779.2766,-13192.25,-39.38931,51.62629,-699.2321,0.6802734,-0.1099107,0.7077165,0.1558368,-0.1217355,0.00235797,-0.002064409,-56.50001
30.8,-645.3008,789.5866,-13331.72,-39.32697,51.47241,-695.4495,0.6788501,-0.118295,0.7057785,0.1644555,-0.1230608,-0.001336609,0.001001771,-56.50001
31,-653.1588,799.866,-13470.44,-39.25086,51.32547,-691.7515,0.6774976,-0.1263649,0.7035587,0.1733037,-0.1215232,-0.003781026,0.004296204,-56.50001
